,PLAYER_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,GP,MIN_PerGame,FGM_PerGame,FGA_PerGame,FG_PCT_PerGame,FG3M_PerGame,FG3A_PerGame,FG3_PCT_PerGame,FTM_PerGame,FTA_PerGame,FT_PCT_PerGame,REB_PerGame,AST_PerGame,TOV_PerGame,STL_PerGame,BLK_PerGame,PTS_PerGame,PLUS_MINUS_PerGame,NBA_FANTASY_PTS_PerGame,OFF_RATING_PerGame,DEF_RATING_PerGame,NET_RATING_PerGame,AST_PCT_PerGame,AST_TO_PerGame,OREB_PCT_PerGame,DREB_PCT_PerGame,TS_PCT_PerGame,USG_PCT_PerGame,PIE_PerGame,PTS_Per100Possessions,PF_Per100Possessions,CONTESTED_SHOTS_Per36,DEFLECTIONS_Per36,CHARGES_DRAWN_Per36,SCREEN_ASSISTS_Per36,LOOSE_BALLS_RECOVERED_Per36,BOX_OUTS_Per36,PCT_STL_PerGame,PCT_BLK_PerGame,PCT_PLUSMINUS_PerGame,POTENTIAL_AST_PerGame,SCO,PLY,REB,DEF,HST,IMP,OVERALL
284,1642867,Murray-Boyles,Collin,1610612761,Toronto,Raptors,TOR,12,F,6-7,245,9,20.8,3.2,6.6,0.492,1.0,2.0,0.5,1.3,1.9,0.706,3.9,1.2,1.1,0.8,0.6,8.8,-3.9,18.2,104.1,111.5,-7.3,0.096,1.1,0.094,0.086,0.594,0.176,0.076,20.5,6.2,6.4,4.8,0.0,2.9,0.6,1.3,0.241,0.313,0.074,2.9,-0.05322292741570236,-0.7185060725982397,0.48800778233848924,-0.684407517796162,0.38354969443488474,-0.6484691485602538,48.06173205047489
285,1629004,Mykhailiuk,Svi,1610612762,Utah,Jazz,UTA,10,G-F,6-7,205,11,27.2,3.8,8.0,0.477,2.2,5.8,0.375,0.5,0.5,0.833,2.9,1.9,0.8,0.6,0.2,10.3,-0.4,18.3,110.6,112.5,-1.9,0.106,2.33,0.029,0.068,0.623,0.127,0.081,17.9,2.4,4.3,2.6,0.1,0.4,0.6,0.2,0.159,0.105,-0.027,5.2,-0.13392807032053033,-0.21865617162394213,-0.7455993383306568,0.30520489364484854,-0.21397211741679273,-0.3196588171992624,48.4107661850492
286,1626204,Nance Jr.,Larry,1610612739,Cleveland,Cavaliers,CLE,22,F-C,6-6,245,9,16.6,1.9,5.3,0.354,0.7,2.4,0.273,0.1,0.3,0.333,3.7,1.4,0.6,0.4,0.2,4.6,-2.1,12.6,106.9,113.6,-6.7,0.13,2.6,0.056,0.155,0.416,0.151,0.04,12.9,8.2,2.9,4.6,0.0,1.7,0.2,1.7,0.167,0.133,-0.005,2.6,-1.5395406303943588,-0.25283668103646606,0.3885877709534112,-0.2843185592296415,-0.22125402174573786,-1.1048416968179198,44.480842038450525
289,1630174,Nesmith,Aaron,1610612754,Indiana,Pacers,IND,23,G-F,6-5,215,10,31.5,5.1,13.8,0.37,3.0,8.0,0.375,2.8,3.6,0.778,4.6,1.6,0.8,0.8,0.3,16.0,-3.9,26.4,108.9,115.5,-6.6,0.08,2.0,0.044,0.094,0.52,0.199,0.079,23.7,3.7,4.7,2.1,0.0,0.8,0.6,0.6,0.19,0.125,0.01,2.9,-0.23338078413076138,-0.6267299533675305,-0.30284672023549825,-0.08445189695692515,-0.49637689594347134,-0.5741337366574213,46.2959726623089
293,203994,Nurkić,Jusuf,1610612762,Utah,Jazz,UTA,30,C,6-11,290,11,22.5,2.6,7.4,0.358,0.3,1.9,0.143,1.6,2.5,0.643,9.1,3.1,2.5,1.4,0.4,7.2,-4.7,25.4,101.6,114.0,-12.4,0.209,1.21,0.085,0.28,0.423,0.188,0.095,14.4,5.1,6.9,3.5,0.0,5.4,0.9,6.9,0.395,0.25,-0.008,5.8,-1.3454697460441742,0.18186617266780444,1.9102388174626939,0.36023293221155905,0.6923289639538657,-0.6391470392824203,53.09275948525695
294,1626220,O'Neale,Royce,1610612756,Phoenix,Suns,PHX,00,F,6-6,226,11,30.7,4.5,9.6,0.462,3.6,8.3,0.44,0.2,0.4,0.5,5.6,3.2,1.6,1.5,0.2,12.7,0.5,27.5,114.4,114.8,-0.4,0.144,1.94,0.034,0.147,0.65,0.151,0.095,19.4,4.1,3.5,3.3,0.0,0.1,0.5,0.9,0.232,0.059,-0.037,6.2,0.14818451217692563,0.0003630781269014227,-0.08037942203667114,0.3790224052762091,-0.47935406582466616,-0.058277179847322676,50.51461165187717
295,1629006,Okogie,Josh,1610612745,Houston,Rockets,HOU,20,G,6-4,213,9,22.5,2.6,5.1,0.5,1.6,3.1,0.5,1.9,2.2,0.85,1.9,1.3,0.7,1.3,0.2,8.6,2.8,16.8,125.0,113.3,11.7,0.076,2.0,0.039,0.05,0.703,0.13,0.071,18.9,5.1,5.7,4.6,0.0,0.2,0.9,0.4,0.293,0.083,0.028,1.4,0.3757246038489092,-0.7773147089715626,-0.6907014911590253,-0.15090285275971566,0.23277601597489508,0.2038225675967868,48.26829063606302
296,1630168,Okongwu,Onyeka,1610612737,Atlanta,Hawks,ATL,17,F-C,6-10,240,11,28.9,4.7,10.1,0.468,1.0,3.3,0.306,2.3,3.3,0.694,8.4,2.4,1.2,0.7,0.9,12.7,0.9,30.0,108.8,107.1,1.6,0.122,2.0,0.068,0.193,0.552,0.182,0.107,20.8,5.7,9.4,2.8,0.0,2.4,1.1,1.6,0.143,0.323,-0.059,3.2,-0.2582239897018427,-0.36682281030507125,0.8187133461680198,0.5690309522845374,0.41773820174949367,0.20033981046833388,51.766379785987716
297,1630171,Okoro,Isaac,1610612741,Chicago,Bulls,CHI,35,F-G,6-4,225,10,23.8,2.8,6.5,0.431,1.1,3.2,0.344,1.2,1.3,0.923,2.6,1.8,1.3,0.5,0.5,7.9,-1.9,15.4,114.4,118.4,-4.0,0.097,1.38,0.043,0.061,0.559,0.148,0.037,15.6,6.7,7.0,2.4,0.3,0.3,0.5,1.1,0.152,0.227,0.021,2.3,-0.5891661827425261,-0.7079228653337163,-0.491859724644987,-0.39746001330990294,0.1534555110276655,-1.0145973152141412,44.940503121638635
299,1626162,Oubre Jr.,Kelly,1610612755,Philadelphia,76ers,PHI,9,F-G,6-8,203,11,36.6,6.6,13.1,0.507,2.1,5.9,0.354,2.6,3.3,0.806,5.5,1.4,1.5,1.0,0.9,18.0,1.5,30.8,117.1,114.1,3.0,0.056,0.88,0.033,0.102,0.619,0.179,0.093,23.5,3.7,4.5,4.1,0.0,0.4,0.4,0.4,0.208,0.169,-0.014,2.8,0.2695616484782346,-0.9944031330089311,-0.4396422072025134,0.21978014044922026,-0.2950168700292112,0.07933505581320938,48.36563544771561
